head_node,relation,tail_node
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-129
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-243
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-1419
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-8301
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-172
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-126
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-19156
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-16
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-223
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-13148
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-122
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-17685
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-39
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-227
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-18113
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-225
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-12018
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-214
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-12040
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-24
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-3656
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-17999
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-1448_1
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-1538_1
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-b-4733
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XVIII_MISCFINDINGS
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XI_DIGESTIVE
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XIX_INJURY_POISON
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XIV_GENITOURINARY
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-XIII_MUSCULOSKELET
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-VI_NERVOUS
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-582
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-581
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-N39
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-569
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-M13_LOWBACKPAIN
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-M13_DORSALGIA
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-551
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-a-545
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-IX_CIRCULATORY
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-ICDMAIN_ANY_ENTRY
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-G6_EPIPAROX
ukb-d-PULMONARYDG,rg_greaterthan_0.5,ukb-d-680_3
